timestamp,client_id,write_rate_limit_kbs,read_rate_limit_kbs,write_buffer_size_kb,max_write_buffer_number
1730149803361644,1,10240,10240,10240,4
1730149803424353,0,10240,147792,10240,4
1730149803424353,1,10240,10240,10240,4
1730149803486452,0,10240,147792,10240,4
1730149803486452,1,10240,10240,10240,4
1730149803551365,0,10240,147792,10240,4
1730149803551365,1,10240,10240,10240,4
1730149803613923,0,10240,147792,10240,4
1730149803613923,1,10240,10240,10240,4
1730149803676538,0,10240,147792,10240,4
1730149803676538,1,10240,10240,10240,4
1730149803739883,0,10240,147792,10240,4
1730149803739883,1,10240,10240,10240,4
1730149803803519,0,10240,147792,10240,4
1730149803803519,1,10240,10240,10240,4
1730149803866167,0,10240,147792,10240,4
1730149803866167,1,10240,10240,10240,4
1730149803929232,0,10240,147792,10240,4
1730149803929232,1,10240,10240,10240,4
1730149803992142,0,10240,147792,10240,4
1730149803992142,1,10240,10240,10240,4
1730149804055451,0,10240,147792,10240,4
1730149804055451,1,10240,10240,10240,4
1730149804119279,0,10240,147792,10240,4
1730149804119279,1,10240,10240,10240,4
1730149804182118,0,10240,147792,10240,4
1730149804182118,1,10240,10240,10240,4
1730149804247759,0,10240,147792,10240,4
1730149804247759,1,10240,10240,10240,4
1730149804313696,0,10240,147792,10240,4
1730149804313696,1,10240,10240,10240,4
1730149804377299,0,10240,147792,10240,4
1730149804377299,1,10240,10240,10240,4
1730149804439968,0,10240,147792,10240,4
1730149804439968,1,10240,10240,10240,4
1730149804503177,0,10240,147792,10240,4
1730149804503177,1,10240,10240,10240,4
1730149804567783,0,10240,147792,10240,4
1730149804567783,1,10240,10240,10240,4
1730149804633403,0,10240,147792,10240,4
1730149804633403,1,10240,10240,10240,4
1730149804696174,0,10240,147792,10240,4
1730149804696174,1,10240,10240,10240,4
1730149804759325,0,10240,147792,10240,4
1730149804759325,1,10240,10240,10240,4
1730149804822993,0,10240,147792,10240,4
1730149804822993,1,10240,10240,10240,4
1730149804886524,0,10240,147792,10240,4
1730149804886524,1,10240,10240,10240,4
1730149804950624,0,10240,147792,10240,4
1730149804950624,1,10240,10240,10240,4
1730149805013722,0,10240,147792,10240,4
1730149805013722,1,10240,10240,10240,4
1730149805128498,0,10240,147792,10240,4
1730149805128498,1,10240,10240,10240,4
1730149805192484,0,10240,147792,10240,4
1730149805192484,1,10240,10240,10240,4
1730149805256014,0,10240,147792,10240,4
1730149805256014,1,10240,10240,10240,4
1730149805319561,0,10240,147792,10240,4
1730149805319561,1,10240,10240,10240,4
1730149805386745,0,10240,147792,10240,4
1730149805386745,1,10240,10240,10240,4
1730149805449390,0,10240,147816,10240,4
1730149805449390,1,10240,10240,10240,4
1730149805514326,0,10240,147816,10240,4
1730149805514326,1,10240,10240,10240,4
1730149805577605,0,10240,147816,10240,4
1730149805577605,1,10240,10240,10240,4
1730149805643885,0,10240,147816,10240,4
1730149805643885,1,10240,10240,10240,4
1730149805708193,0,10240,147816,10240,4
1730149805708193,1,10240,10240,10240,4
1730149805771840,0,10240,147816,10240,4
1730149805771840,1,10240,10240,10240,4
1730149805835788,0,10240,147816,10240,4
1730149805835788,1,10240,10240,10240,4
1730149805901454,0,10240,147816,10240,4
1730149805901454,1,10240,10240,10240,4
1730149805965148,0,10240,147816,10240,4
1730149805965148,1,10240,10240,10240,4
1730149806029111,0,10240,147816,10240,4
1730149806029111,1,10240,10240,10240,4
1730149806093805,0,10240,147816,10240,4
1730149806093805,1,10240,10240,10240,4
1730149806159560,0,10240,147816,10240,4
1730149806159560,1,10240,10240,10240,4
1730149806223394,0,10240,147816,10240,4
1730149806223394,1,10240,10240,10240,4
1730149806287244,0,10240,147816,10240,4
1730149806287244,1,10240,10240,10240,4
1730149806351665,0,10240,147816,10240,4
1730149806351665,1,10240,10240,10240,4
1730149806415153,0,10240,147816,10240,4
1730149806415153,1,10240,10240,10240,4
1730149806479662,0,10240,147816,10240,4
1730149806479662,1,10240,10240,10240,4
1730149806542922,0,10240,147816,10240,4
1730149806542922,1,10240,10240,10240,4
1730149806607514,0,10240,147816,10240,4
1730149806607514,1,10240,10240,10240,4
1730149806670140,0,10240,147816,10240,4
1730149806670140,1,10240,10240,10240,4
1730149806733266,0,10240,147816,10240,4
1730149806733266,1,10240,10240,10240,4
1730149806796748,0,10240,147816,10240,4
1730149806796748,1,10240,10240,10240,4
1730149806859774,0,10240,147816,10240,4
1730149806859774,1,10240,10240,10240,4
1730149806925019,0,10240,147816,10240,4
1730149806925019,1,10240,10240,10240,4
1730149806989430,0,10240,147816,10240,4
1730149806989430,1,10240,10240,10240,4
1730149807054006,0,10240,147816,10240,4
1730149807054006,1,10240,10240,10240,4
1730149807119961,0,10240,147816,10240,4
1730149807119961,1,10240,10240,10240,4
1730149807183954,0,10240,147816,10240,4
1730149807183954,1,10240,10240,10240,4
1730149807247870,0,10240,147816,10240,4
1730149807247870,1,10240,10240,10240,4
1730149807312141,0,10240,147816,10240,4
1730149807312141,1,10240,10240,10240,4
1730149807375641,0,10240,147816,10240,4
1730149807375641,1,10240,10240,10240,4
1730149807441182,0,10240,147816,10240,4
1730149807441182,1,10240,10240,10240,4
1730149807503653,0,10240,147816,10240,4
1730149807503653,1,10240,10240,10240,4
1730149807567290,0,10240,147816,10240,4
1730149807567290,1,10240,10240,10240,4
1730149807630518,0,10240,147816,10240,4
1730149807630518,1,10240,10240,10240,4
1730149807693499,0,10240,147816,10240,4
1730149807693499,1,10240,10240,10240,4
1730149807756379,0,10240,147816,10240,4
1730149807756379,1,10240,10240,10240,4
1730149807819717,0,10240,147816,10240,4
1730149807819717,1,10240,10240,10240,4
1730149807883121,0,10240,147816,10240,4
1730149807883121,1,10240,10240,10240,4
1730149807947897,0,10240,147816,10240,4
1730149807947897,1,10240,10240,10240,4
1730149808011111,0,10240,147816,10240,4
1730149808011111,1,10240,10240,10240,4
1730149808074702,0,10240,147816,10240,4
1730149808074702,1,10240,10240,10240,4
1730149808138544,0,10240,147816,10240,4
1730149808138544,1,10240,10240,10240,4
1730149808200691,0,10240,147816,10240,4
1730149808200691,1,10240,10240,10240,4
1730149808263687,0,10240,147816,10240,4
1730149808263687,1,10240,10240,10240,4
1730149808326474,0,10240,147816,10240,4
1730149808326474,1,10240,10240,10240,4
1730149808387758,0,10240,147816,10240,4
1730149808387758,1,10240,10240,10240,4
1730149808450905,0,10240,147816,10240,4
1730149808450905,1,10240,10240,10240,4
1730149808513428,0,10240,147816,10240,4
1730149808513428,1,10240,10240,10240,4
1730149808577690,0,10240,147816,10240,4
1730149808577690,1,10240,10240,10240,4
1730149808640447,0,10240,147816,10240,4
1730149808640447,1,10240,10240,10240,4
1730149808705138,0,10240,147816,10240,4
1730149808705138,1,10240,10240,10240,4
1730149808768901,0,10240,147816,10240,4
1730149808768901,1,10240,10240,10240,4
1730149808832069,0,10240,147816,10240,4
1730149808832069,1,10240,10240,10240,4
1730149808895472,0,10240,147816,10240,4
1730149808895472,1,10240,10240,10240,4
1730149808959954,0,10240,147816,10240,4
1730149808959954,1,10240,10240,10240,4
1730149809022176,0,10240,147816,10240,4
1730149809022176,1,10240,10240,10240,4
1730149809087013,0,10240,147816,10240,4
1730149809087013,1,10240,10240,10240,4
1730149809151375,0,10240,147816,10240,4
1730149809151375,1,10240,10240,10240,4
1730149809215833,0,10240,147816,10240,4
1730149809215833,1,10240,10240,10240,4
1730149809279002,0,10240,147816,10240,4
1730149809279002,1,10240,10240,10240,4
1730149809341325,0,10240,147816,10240,4
1730149809341325,1,10240,10240,10240,4
1730149809403342,0,10240,147816,10240,4
1730149809403342,1,10240,10240,10240,4
1730149809466024,0,10240,147816,10240,4
1730149809466024,1,10240,10240,10240,4
1730149809528649,0,10240,147816,10240,4
1730149809528649,1,10240,10240,10240,4
1730149809593055,0,10240,147816,10240,4
1730149809593055,1,10240,10240,10240,4
1730149809655070,0,10240,147816,10240,4
1730149809655070,1,10240,10240,10240,4
1730149809719133,0,10240,147816,10240,4
1730149809719133,1,10240,10240,10240,4
1730149809782665,0,10240,147816,10240,4
1730149809782665,1,10240,10240,10240,4
1730149809844698,0,10240,147816,10240,4
1730149809844698,1,10240,10240,10240,4
1730149809908545,0,10240,147816,10240,4
1730149809908545,1,10240,10240,10240,4
1730149809972391,0,10240,147816,10240,4
1730149809972391,1,10240,10240,10240,4
1730149810033978,0,10240,147816,10240,4
1730149810033978,1,10240,10240,10240,4
1730149810096977,0,10240,147816,10240,4
1730149810096977,1,10240,10240,10240,4
1730149810160068,0,10240,147816,10240,4
1730149810160068,1,10240,10240,10240,4
1730149810222213,0,10240,147816,10240,4
1730149810222213,1,10240,10240,10240,4
1730149810285627,0,10240,147816,10240,4
1730149810285627,1,10240,10240,10240,4
1730149810351078,0,10240,147816,10240,4
1730149810351078,1,10240,10240,10240,4
1730149810412782,0,10240,147816,10240,4
1730149810412782,1,10240,10240,10240,4
1730149810475984,0,10240,147816,10240,4
1730149810475984,1,10240,10240,10240,4
1730149810538843,0,10240,147816,10240,4
1730149810538843,1,10240,10240,10240,4
1730149810601839,0,10240,147816,10240,4
1730149810601839,1,10240,10240,10240,4
1730149810665546,0,10240,147816,10240,4
1730149810665546,1,10240,10240,10240,4
1730149810727737,0,10240,147816,10240,4
1730149810727737,1,10240,10240,10240,4
1730149810791612,0,10240,147816,10240,4
1730149810791612,1,10240,10240,10240,4
1730149810854914,0,10240,147816,10240,4
1730149810854914,1,10240,10240,10240,4
1730149810918467,0,10240,147816,10240,4
1730149810918467,1,10240,10240,10240,4
1730149810979488,0,10240,147816,10240,4
1730149810979488,1,10240,10240,10240,4
1730149811042474,0,10240,147816,10240,4
1730149811042474,1,10240,10240,10240,4
1730149811104870,0,10240,147816,10240,4
1730149811104870,1,10240,10240,10240,4
1730149811166839,0,10240,147816,10240,4
1730149811166839,1,10240,10240,10240,4
1730149811229700,0,10240,147816,10240,4
1730149811229700,1,10240,10240,10240,4
1730149811293560,0,10240,147816,10240,4
1730149811293560,1,10240,10240,10240,4
1730149811356108,0,10240,147816,10240,4
1730149811356108,1,10240,10240,10240,4
1730149811419342,0,10240,147816,10240,4
1730149811419342,1,10240,10240,10240,4
1730149811480631,0,10240,147816,10240,4
1730149811480631,1,10240,10240,10240,4
1730149811542740,0,10240,147816,10240,4
1730149811542740,1,10240,10240,10240,4
1730149811605823,0,10240,147816,10240,4
1730149811605823,1,10240,10240,10240,4
1730149811668261,0,10240,147816,10240,4
1730149811668261,1,10240,10240,10240,4
1730149811729433,0,10240,147816,10240,4
1730149811729433,1,10240,10240,10240,4
1730149811792789,0,10240,147816,10240,4
1730149811792789,1,10240,10240,10240,4
1730149811855493,0,10240,147816,10240,4
1730149811855493,1,10240,10240,10240,4
1730149811918040,0,10240,147816,10240,4
1730149811918040,1,10240,10240,10240,4
1730149811982403,0,10240,147816,10240,4
1730149811982403,1,10240,10240,10240,4
1730149812045199,0,10240,147816,10240,4
1730149812045199,1,10240,10240,10240,4
1730149812107842,0,10240,147816,10240,4
1730149812107842,1,10240,10240,10240,4
1730149812170623,0,10240,147816,10240,4
1730149812170623,1,10240,10240,10240,4
1730149812233665,0,10240,147816,10240,4
1730149812233665,1,10240,10240,10240,4
1730149812296473,0,10240,147816,10240,4
1730149812296473,1,10240,10240,10240,4
1730149812360059,0,10240,147816,10240,4
1730149812360059,1,10240,10240,10240,4
1730149812422489,0,10240,147816,10240,4
1730149812422489,1,10240,10240,10240,4
1730149812484945,0,10240,147816,10240,4
1730149812484945,1,10240,10240,10240,4
1730149812548897,0,10240,147816,10240,4
1730149812548897,1,10240,10240,10240,4
1730149812611950,0,10240,147816,10240,4
1730149812611950,1,10240,10240,10240,4
1730149812674394,0,10240,147816,10240,4
1730149812674394,1,10240,10240,10240,4
1730149812736979,0,10240,147816,10240,4
1730149812736979,1,10240,10240,10240,4
1730149812800932,0,10240,147816,10240,4
1730149812800932,1,10240,10240,10240,4
1730149812863050,0,10240,147816,10240,4
1730149812863050,1,10240,10240,10240,4
1730149812926199,0,10240,147816,10240,4
1730149812926199,1,10240,10240,10240,4
1730149812989836,0,10240,147816,10240,4
1730149812989836,1,10240,10240,10240,4
1730149813053241,0,10240,147816,10240,4
1730149813053241,1,10240,10240,10240,4
1730149813117449,0,10240,147816,10240,4
1730149813117449,1,10240,10240,10240,4
1730149813179979,0,10240,147816,10240,4
1730149813179979,1,10240,10240,10240,4
1730149813244340,0,10240,147816,10240,4
1730149813244340,1,10240,10240,10240,4
1730149813306004,0,10240,147816,10240,4
1730149813306004,1,10240,10240,10240,4
1730149813367636,0,10240,147816,10240,4
1730149813367636,1,10240,10240,10240,4
1730149813429739,0,10240,147816,10240,4
1730149813429739,1,10240,10240,10240,4
1730149813491232,0,10240,147816,10240,4
1730149813491232,1,10240,10240,10240,4
1730149813554985,0,10240,147816,10240,4
1730149813554985,1,10240,10240,10240,4
1730149813619161,0,10240,147816,10240,4
1730149813619161,1,10240,10240,10240,4
1730149813681272,0,10240,147816,10240,4
1730149813681272,1,10240,10240,10240,4
1730149813745421,0,10240,147816,10240,4
1730149813745421,1,10240,10240,10240,4
1730149813811045,0,10240,147816,10240,4
1730149813811045,1,10240,10240,10240,4
1730149813873393,0,10240,147816,10240,4
1730149813873393,1,10240,10240,10240,4
1730149813937407,0,10240,147816,10240,4
1730149813937407,1,10240,10240,10240,4
1730149814001120,0,10240,147816,10240,4
1730149814001120,1,10240,10240,10240,4
1730149814063843,0,10240,147816,10240,4
1730149814063843,1,10240,10240,10240,4
1730149814126121,0,10240,147816,10240,4
1730149814126121,1,10240,10240,10240,4
1730149814188668,0,10240,147816,10240,4
1730149814188668,1,10240,10240,10240,4
1730149814250891,0,10240,147816,10240,4
1730149814250891,1,10240,10240,10240,4
1730149814313601,0,10240,147816,10240,4
1730149814313601,1,10240,10240,10240,4
1730149814376286,0,10240,147816,10240,4
1730149814376286,1,10240,10240,10240,4
1730149814440110,0,10240,147816,10240,4
1730149814440110,1,10240,10240,10240,4
1730149814501331,0,10240,147816,10240,4
1730149814501331,1,10240,10240,10240,4
1730149814563112,0,10240,147816,10240,4
1730149814563112,1,10240,10240,10240,4
1730149814625750,0,10240,147816,10240,4
1730149814625750,1,10240,10240,10240,4
1730149814686799,0,10240,147816,10240,4
1730149814686799,1,10240,10240,10240,4
1730149814749444,0,10240,147816,10240,4
1730149814749444,1,10240,10240,10240,4
1730149814812769,0,10240,147816,10240,4
1730149814812769,1,10240,10240,10240,4
1730149814874088,0,10240,147816,10240,4
1730149814874088,1,10240,10240,10240,4
1730149814936214,0,10240,147816,10240,4
1730149814936214,1,10240,10240,10240,4
1730149814999018,0,10240,147816,10240,4
1730149814999018,1,10240,10240,10240,4
1730149815060939,0,10240,147816,10240,4
1730149815060939,1,10240,10240,10240,4
1730149815124220,0,10240,147816,10240,4
1730149815124220,1,10240,10240,10240,4
1730149815185864,0,10240,147816,10240,4
1730149815185864,1,10240,10240,10240,4
1730149815250872,0,10240,147816,10240,4
1730149815250872,1,10240,10240,10240,4
1730149815311884,0,10240,147816,10240,4
1730149815311884,1,10240,10240,10240,4
1730149815374481,0,10240,147816,10240,4
1730149815374481,1,10240,10240,10240,4
1730149815437331,0,10240,147816,10240,4
1730149815437331,1,10240,10240,10240,4
1730149815500229,0,10240,147816,10240,4
1730149815500229,1,10240,10240,10240,4
1730149815562423,0,10240,147816,10240,4
1730149815562423,1,10240,10240,10240,4
1730149815626095,0,10240,147816,10240,4
1730149815626095,1,10240,10240,10240,4
1730149815688445,0,10240,147816,10240,4
1730149815688445,1,10240,10240,10240,4
1730149815750916,0,10240,147816,10240,4
1730149815750916,1,10240,10240,10240,4
1730149815813215,0,10240,147816,10240,4
1730149815813215,1,10240,10240,10240,4
1730149815876878,0,10240,147816,10240,4
1730149815876878,1,10240,10240,10240,4
1730149815939994,0,10240,147816,10240,4
1730149815939994,1,10240,10240,10240,4
1730149816002313,0,10240,147816,10240,4
1730149816002313,1,10240,10240,10240,4
1730149816065422,0,10240,147816,10240,4
1730149816065422,1,10240,10240,10240,4
1730149816129856,0,10240,147816,10240,4
1730149816129856,1,10240,10240,10240,4
1730149816192156,0,10240,147816,10240,4
1730149816192156,1,10240,10240,10240,4
1730149816253243,0,10240,147816,10240,4
1730149816253243,1,10240,10240,10240,4
1730149816317609,0,10240,147816,10240,4
1730149816317609,1,10240,10240,10240,4
1730149816381021,0,10240,147816,10240,4
1730149816381021,1,10240,10240,10240,4
1730149816443720,0,10240,147816,10240,4
1730149816443720,1,10240,10240,10240,4
1730149816507006,0,10240,147816,10240,4
1730149816507006,1,10240,10240,10240,4
1730149816569855,0,10240,147816,10240,4
1730149816569855,1,10240,10240,10240,4
1730149816633408,0,10240,147816,10240,4
1730149816633408,1,10240,10240,10240,4
1730149816694745,0,10240,147816,10240,4
1730149816694745,1,10240,10240,10240,4
1730149816758095,0,10240,147816,10240,4
1730149816758095,1,10240,10240,10240,4
1730149816821734,0,10240,147816,10240,4
1730149816821734,1,10240,10240,10240,4
1730149816885224,0,10240,147816,10240,4
1730149816885224,1,10240,10240,10240,4
1730149816947231,0,10240,147816,10240,4
1730149816947231,1,10240,10240,10240,4
1730149817010335,0,10240,147816,10240,4
1730149817010335,1,10240,10240,10240,4
1730149817073230,0,10240,147816,10240,4
1730149817073230,1,10240,10240,10240,4
1730149817136486,0,10240,147816,10240,4
1730149817136486,1,10240,10240,10240,4
1730149817197909,0,10240,147816,10240,4
1730149817197909,1,10240,10240,10240,4
1730149817261217,0,10240,147816,10240,4
1730149817261217,1,10240,10240,10240,4
1730149817324790,0,10240,147816,10240,4
1730149817324790,1,10240,10240,10240,4
1730149817388978,0,10240,147816,10240,4
1730149817388978,1,10240,10240,10240,4
1730149817452678,0,10240,147816,10240,4
1730149817452678,1,10240,10240,10240,4
1730149817516563,0,10240,147816,10240,4
1730149817516563,1,10240,10240,10240,4
1730149817580892,0,10240,147816,10240,4
1730149817580892,1,10240,10240,10240,4
1730149817644694,0,10240,147816,10240,4
1730149817644694,1,10240,10240,10240,4
1730149817707764,0,10240,147816,10240,4
1730149817707764,1,10240,10240,10240,4
